FL_DATE,state,latitude,longitude,temperature
2022-01-01,Alaska,63.588753,-154.493062,-27.81
2022-01-01,Arizona,34.048928,-111.093731,2.23
2022-01-01,Arkansas,35.20105,-91.831833,16.34
2022-01-01,California,36.778261,-119.417932,6.25
2022-01-01,Colorado,39.550051,-105.782067,-15.49
2022-01-01,Connecticut,41.603221,-73.087749,8.31
2022-01-01,Florida,27.664827,-81.515754,23.95
2022-01-01,Georgia,32.157435,-82.907123,22.6
2022-01-01,Hawaii,19.898682,-155.665857,16.87
2022-01-01,Idaho,44.068202,-114.742041,-18.5
2022-01-01,Illinois,40.633125,-89.398528,1.52
2022-01-01,Indiana,40.551217,-85.602364,8.82
2022-01-01,Iowa,41.878003,-93.097702,-10.88
2022-01-01,Kansas,39.011902,-98.484246,-9.61
2022-01-01,Kentucky,37.839333,-84.270018,14.58
2022-01-01,Louisiana,31.244823,-92.145024,24.1
2022-01-01,Maine,45.253783,-69.445469,1.09
2022-01-01,Maryland,39.045755,-76.641271,11.9
2022-01-01,Massachusetts,42.407211,-71.382437,7.48
2022-01-01,Michigan,44.314844,-85.602364,-4.55
2022-01-01,Minnesota,46.729553,-94.6859,-27.8
2022-01-01,Mississippi,32.354668,-89.398528,22.38
2022-01-01,Missouri,37.964253,-91.831833,8.02
2022-01-01,Montana,46.879682,-110.362566,-20.04
2022-01-01,Nebraska,41.492537,-99.901813,-16.07
2022-01-01,Nevada,38.80261,-116.419389,-13.48
2022-01-01,New Jersey,40.058324,-74.405661,11.2
2022-01-01,New Mexico,34.97273,-105.032363,4.19
2022-01-01,New York,43.299428,-74.217933,1.47
2022-01-01,North Carolina,35.759573,-79.0193,20.11
2022-01-01,North Dakota,47.551493,-101.002012,-27.66
2022-01-01,Ohio,40.417287,-82.907123,10.64
2022-01-01,Oklahoma,35.007752,-97.092877,9.25
2022-01-01,Oregon,43.804133,-120.554201,-12.71
2022-01-01,Pennsylvania,41.203322,-77.194525,9.3
2022-01-01,Puerto Rico,18.220833,-66.590149,20.93
2022-01-01,Rhode Island,41.580095,-71.477429,8.7
2022-01-01,South Carolina,33.836081,-81.163725,21.8
2022-01-01,Tennessee,35.517491,-86.580447,19.74
2022-01-01,Texas,31.968599,-99.901813,16.2
2022-01-01,Utah,39.32098,-111.093731,-13.46
2022-01-01,Vermont,44.558803,-72.577841,2.08
2022-01-01,Virginia,37.431573,-78.656894,16.41
2022-01-01,Washington,47.751074,-120.740139,-13.82
2022-01-01,West Virginia,38.597626,-80.454903,13.86
2022-01-01,Wisconsin,43.78444,-88.787868,-7.76
2022-01-01,Wyoming,43.075968,-107.290284,-16.97
2022-01-02,Alabama,32.318231,-86.902298,19.62
2022-01-02,Alaska,63.588753,-154.493062,-28.23
2022-01-02,Arizona,34.048928,-111.093731,-5.6
2022-01-02,Arkansas,35.20105,-91.831833,1.91
2022-01-02,California,36.778261,-119.417932,6.36
2022-01-02,Colorado,39.550051,-105.782067,-19.49
2022-01-02,Connecticut,41.603221,-73.087749,7.57
2022-01-02,Florida,27.664827,-81.515754,23.91
2022-01-02,Georgia,32.157435,-82.907123,21.58
2022-01-02,Hawaii,19.898682,-155.665857,17.43
2022-01-02,Idaho,44.068202,-114.742041,-13.86
2022-01-02,Illinois,40.633125,-89.398528,-6.86
2022-01-02,Indiana,40.551217,-85.602364,-1.82
2022-01-02,Iowa,41.878003,-93.097702,-18.14
2022-01-02,Kansas,39.011902,-98.484246,-12.03
2022-01-02,Kentucky,37.839333,-84.270018,8.93
2022-01-02,Louisiana,31.244823,-92.145024,12.55
2022-01-02,Maine,45.253783,-69.445469,-0.36
2022-01-02,Maryland,39.045755,-76.641271,14.37
2022-01-02,Massachusetts,42.407211,-71.382437,6.5
2022-01-02,Michigan,44.314844,-85.602364,-9.51
2022-01-02,Minnesota,46.729553,-94.6859,-26.26
2022-01-02,Mississippi,32.354668,-89.398528,15.27
2022-01-02,Missouri,37.964253,-91.831833,-6.3
2022-01-02,Montana,46.879682,-110.362566,-6.01
