FL_DATE,state,latitude,longitude,temperature
2022-09-16,Puerto Rico,18.220833,-66.590149,24.16
2022-09-16,Connecticut,41.603221,-73.087749,15.06
2022-09-16,Oklahoma,35.007752,-97.092877,25.15
2022-09-16,Oregon,43.804133,-120.554201,11.91
2022-09-16,Utah,39.32098,-111.093731,10.22
2022-09-16,Missouri,37.964253,-91.831833,22.42
2022-09-17,Arizona,34.048928,-111.093731,19.06
2022-09-17,Pennsylvania,41.203322,-77.194525,19.4
2022-09-17,North Carolina,35.759573,-79.0193,21.45
2022-09-17,New Jersey,40.058324,-74.405661,20.22
2022-09-17,Washington,47.751074,-120.740139,11.6
2022-09-17,Massachusetts,42.407211,-71.382437,14.59
2022-09-17,New York,43.299428,-74.217933,12.7
2022-09-17,Kentucky,37.839333,-84.270018,21.75
2022-09-17,Missouri,37.964253,-91.831833,23.74
2022-09-17,Maryland,39.045755,-76.641271,19.67
2022-09-18,New York,43.299428,-74.217933,17.68
2022-09-18,Massachusetts,42.407211,-71.382437,20.06
2022-09-18,Puerto Rico,18.220833,-66.590149,21.72
2023-06-14,Iowa,41.878003,-93.097702,22.11
2023-06-14,Montana,46.879682,-110.362566,14.85
2023-06-14,Idaho,44.068202,-114.742041,7.81
2023-06-14,South Dakota,43.969515,-99.901813,22.08
2023-06-15,Wisconsin,43.78444,-88.787868,17.35
2023-06-15,New Mexico,34.97273,-105.032363,24.58
2023-06-16,Louisiana,31.244823,-92.145024,30.18
2023-06-16,Arizona,34.048928,-111.093731,19.74
2023-06-16,Puerto Rico,18.220833,-66.590149,25.82
2023-06-16,Connecticut,41.603221,-73.087749,19.1
2023-06-16,Ohio,40.417287,-82.907123,17.64
2023-06-16,U.S. Virgin Islands,8.3358,64.8963,29.03
2023-06-16,South Dakota,43.969515,-99.901813,21.17
2023-06-17,New York,43.299428,-74.217933,14.98
2023-06-17,Arizona,34.048928,-111.093731,20.38
2023-06-17,South Carolina,33.836081,-81.163725,25.56
2023-06-17,Pennsylvania,41.203322,-77.194525,17.87
2023-06-17,Rhode Island,41.580095,-71.477429,17.6
2023-06-17,Massachusetts,42.407211,-71.382437,17.31
2023-06-17,Minnesota,46.729553,-94.6859,20.18
2023-06-17,Utah,39.32098,-111.093731,9.75
2023-06-17,Indiana,40.551217,-85.602364,18.25
2023-06-17,West Virginia,38.597626,-80.454903,15.88
2023-06-17,Tennessee,35.517491,-86.580447,24.07
2023-06-17,Kansas,39.011902,-98.484246,23.19
2023-06-17,Iowa,41.878003,-93.097702,21.05
2023-06-17,Arkansas,35.20105,-91.831833,24.75
2023-06-17,Alabama,32.318231,-86.902298,23.74
2023-06-17,U.S. Virgin Islands,8.3358,64.8963,29.1
2023-06-17,Wisconsin,43.78444,-88.787868,18.33
2023-06-18,Virginia,37.431573,-78.656894,22.66
2023-06-18,Pennsylvania,41.203322,-77.194525,18.71
2023-06-18,Massachusetts,42.407211,-71.382437,16.82
2023-06-18,New Jersey,40.058324,-74.405661,21.12
2023-06-18,Minnesota,46.729553,-94.6859,20.03
2023-06-18,South Carolina,33.836081,-81.163725,25.76
2023-06-18,Indiana,40.551217,-85.602364,21.52
2023-06-18,Louisiana,31.244823,-92.145024,27.98
2023-06-18,Nebraska,41.492537,-99.901813,20.23
2023-06-19,Arizona,34.048928,-111.093731,21.66
2023-06-19,Oregon,43.804133,-120.554201,5.8
2023-06-19,Rhode Island,41.580095,-71.477429,17.85
2023-06-19,Connecticut,41.603221,-73.087749,18.68
2023-06-19,Montana,46.879682,-110.362566,9.77
2023-06-19,Idaho,44.068202,-114.742041,3.43
2023-06-19,Ohio,40.417287,-82.907123,20.92
2023-06-19,New Hampshire,43.193852,-71.572395,15.72
2023-06-19,West Virginia,38.597626,-80.454903,21.08
2023-06-19,New Mexico,34.97273,-105.032363,27.28
2023-06-19,North Dakota,47.551493,-101.002012,23.27
2023-06-20,Indiana,40.551217,-85.602364,23.48
2023-06-20,Michigan,44.314844,-85.602364,21.27
2023-06-20,New York,43.299428,-74.217933,18.07
2023-06-20,Missouri,37.964253,-91.831833,23.78
2023-06-20,Pennsylvania,41.203322,-77.194525,21.89
2023-06-20,Arizona,34.048928,-111.093731,21.61
2023-06-20,Ohio,40.417287,-82.907123,21.45
2023-06-20,Connecticut,41.603221,-73.087749,17.5
2023-06-20,New Jersey,40.058324,-74.405661,19.61
2023-06-20,New Hampshire,43.193852,-71.572395,16.85
2023-06-20,West Virginia,38.597626,-80.454903,19.28
2023-06-20,Idaho,44.068202,-114.742041,0.64
2023-06-20,Nebraska,41.492537,-99.901813,25.37
2023-06-20,New Mexico,34.97273,-105.032363,28.64
2023-06-21,Ohio,40.417287,-82.907123,21.73
2023-06-21,Wisconsin,43.78444,-88.787868,23.52
2023-06-21,Washington,47.751074,-120.740139,12.55
2023-06-21,Nevada,38.80261,-116.419389,13.25
2023-06-21,Iowa,41.878003,-93.097702,24.69
2023-06-21,Michigan,44.314844,-85.602364,23.09
2023-06-21,Pennsylvania,41.203322,-77.194525,20.89
2023-06-21,Oregon,43.804133,-120.554201,9.84
2023-06-21,Wyoming,43.075968,-107.290284,12.4
2023-06-21,Kentucky,37.839333,-84.270018,21.21
2023-06-21,Indiana,40.551217,-85.602364,23.31
2023-06-21,Alaska,63.588753,-154.493062,13.39
2023-06-22,Arizona,34.048928,-111.093731,22.12
2023-06-22,Hawaii,19.898682,-155.665857,18.29
2023-06-22,Connecticut,41.603221,-73.087749,15.57
2023-06-22,Kansas,39.011902,-98.484246,23.5
2023-06-22,Wyoming,43.075968,-107.290284,11.67
2023-06-22,Washington,47.751074,-120.740139,13.83
2023-06-22,New Jersey,40.058324,-74.405661,16.83
2023-06-22,Alabama,32.318231,-86.902298,24.23
2023-06-22,Nebraska,41.492537,-99.901813,20.45
2023-06-22,Puerto Rico,18.220833,-66.590149,26.22
2023-06-22,New Hampshire,43.193852,-71.572395,16.68
2023-06-23,Ohio,40.417287,-82.907123,18.95
2023-06-23,Hawaii,19.898682,-155.665857,18.81
2023-06-23,Iowa,41.878003,-93.097702,25.5
2023-06-23,Indiana,40.551217,-85.602364,20.89
2023-06-23,New Mexico,34.97273,-105.032363,27.13
2023-06-23,Wisconsin,43.78444,-88.787868,23.02
2023-06-23,Oregon,43.804133,-120.554201,16.98
2023-06-23,Mississippi,32.354668,-89.398528,25.02
2023-06-23,U.S. Virgin Islands,8.3358,64.8963,28.8
2023-06-23,Kansas,39.011902,-98.484246,24.47
2023-06-23,Idaho,44.068202,-114.742041,7.57
2023-06-23,Rhode Island,41.580095,-71.477429,18.9
2023-06-24,Puerto Rico,18.220833,-66.590149,24.0
2023-06-24,Connecticut,41.603221,-73.087749,19.97
2023-06-24,South Carolina,33.836081,-81.163725,24.2
2023-06-24,California,36.778261,-119.417932,21.53
2023-06-24,Arizona,34.048928,-111.093731,21.23
2023-06-24,Kentucky,37.839333,-84.270018,21.84
2023-06-24,Alaska,63.588753,-154.493062,15.58
2023-06-24,Utah,39.32098,-111.093731,11.76
2023-06-24,North Dakota,47.551493,-101.002012,16.49
