,FL_DATE,state,latitude,longitude,temperature
0,2023-06-07,Texas,31.968599,-99.901813,24.17
1,2023-06-07,Florida,27.664827,-81.515754,24.64
2,2023-06-07,Virginia,37.431573,-78.656894,21.44
3,2023-06-07,South Carolina,33.836081,-81.163725,24.89
4,2023-06-07,Georgia,32.157435,-82.907123,27.4
5,2023-06-07,California,36.778261,-119.417932,18.46
6,2023-06-07,Wyoming,43.075968,-107.290284,15.74
7,2023-06-07,Idaho,44.068202,-114.742041,8.86
8,2023-06-07,Wisconsin,43.78444,-88.787868,17.16
9,2023-06-07,Michigan,44.314844,-85.602364,15.02
10,2023-06-07,Oklahoma,35.007752,-97.092877,23.49
11,2023-06-07,Mississippi,32.354668,-89.398528,25.05
12,2023-06-07,Arkansas,35.20105,-91.831833,25.89
13,2023-06-07,Nevada,38.80261,-116.419389,16.03
14,2023-06-07,Utah,39.32098,-111.093731,12.06
15,2023-06-07,Massachusetts,42.407211,-71.382437,14.85
16,2023-06-07,Montana,46.879682,-110.362566,14.4
17,2023-06-07,Colorado,39.550051,-105.782067,4.33
18,2023-06-07,Maine,45.253783,-69.445469,10.1
19,2023-06-07,Arizona,34.048928,-111.093731,18.33
20,2023-06-07,Minnesota,46.729553,-94.6859,18.33
21,2023-06-07,Indiana,40.551217,-85.602364,18.48
22,2023-06-08,Alabama,32.318231,-86.902298,26.89
23,2023-06-08,New York,43.299428,-74.217933,11.41
24,2023-06-08,North Carolina,35.759573,-79.0193,19.85
25,2023-06-08,Wisconsin,43.78444,-88.787868,15.84
26,2023-06-08,South Carolina,33.836081,-81.163725,21.96
27,2023-06-08,Kentucky,37.839333,-84.270018,17.9
28,2023-06-08,Missouri,37.964253,-91.831833,21.88
29,2023-06-08,Georgia,32.157435,-82.907123,26.98
30,2023-06-08,Maine,45.253783,-69.445469,10.36
31,2023-06-08,Texas,31.968599,-99.901813,25.36
32,2023-06-08,Florida,27.664827,-81.515754,25.5
33,2023-06-08,Louisiana,31.244823,-92.145024,26.89
34,2023-06-08,Pennsylvania,41.203322,-77.194525,14.13
35,2023-06-08,Virginia,37.431573,-78.656894,18.98
36,2023-06-08,Montana,46.879682,-110.362566,15.17
37,2023-06-08,Washington,47.751074,-120.740139,22.86
38,2023-06-08,California,36.778261,-119.417932,19.91
39,2023-06-08,Utah,39.32098,-111.093731,11.88
40,2023-06-08,Idaho,44.068202,-114.742041,8.33
41,2023-06-08,Colorado,39.550051,-105.782067,3.6
42,2023-06-08,Tennessee,35.517491,-86.580447,22.11
43,2023-06-08,Arkansas,35.20105,-91.831833,25.22
44,2023-06-08,Mississippi,32.354668,-89.398528,25.85
45,2023-06-08,Illinois,40.633125,-89.398528,18.6
46,2023-06-08,Oklahoma,35.007752,-97.092877,23.86
47,2023-06-08,Nevada,38.80261,-116.419389,13.55
48,2023-06-08,South Dakota,43.969515,-99.901813,26.64
49,2023-06-08,Michigan,44.314844,-85.602364,14.53
50,2023-06-08,Minnesota,46.729553,-94.6859,17.7
51,2023-06-08,Indiana,40.551217,-85.602364,17.7
52,2023-06-08,Massachusetts,42.407211,-71.382437,13.85
53,2023-06-09,Florida,27.664827,-81.515754,26.2
54,2023-06-09,Colorado,39.550051,-105.782067,4.84
55,2023-06-09,Louisiana,31.244823,-92.145024,28.19
56,2023-06-09,Alaska,63.588753,-154.493062,12.2
57,2023-06-09,Puerto Rico,18.220833,-66.590149,24.86
58,2023-06-09,Nevada,38.80261,-116.419389,13.24
59,2023-06-09,Georgia,32.157435,-82.907123,25.98
60,2023-06-09,Oklahoma,35.007752,-97.092877,26.28
61,2023-06-09,Illinois,40.633125,-89.398528,19.38
62,2023-06-09,Arkansas,35.20105,-91.831833,23.14
63,2023-06-09,Texas,31.968599,-99.901813,27.82
64,2023-06-09,Washington,47.751074,-120.740139,17.1
65,2023-06-09,Wisconsin,43.78444,-88.787868,17.45
66,2023-06-09,Oregon,43.804133,-120.554201,14.97
67,2023-06-09,Massachusetts,42.407211,-71.382437,13.2
68,2023-06-09,Idaho,44.068202,-114.742041,7.75
69,2023-06-09,Minnesota,46.729553,-94.6859,20.69
70,2023-06-09,Michigan,44.314844,-85.602364,16.17
71,2023-06-09,California,36.778261,-119.417932,22.2
72,2023-06-09,Tennessee,35.517491,-86.580447,20.75
73,2023-06-09,Missouri,37.964253,-91.831833,20.06
74,2023-06-10,Louisiana,31.244823,-92.145024,28.68
75,2023-06-10,Wisconsin,43.78444,-88.787868,20.26
76,2023-06-10,Florida,27.664827,-81.515754,26.12
77,2023-06-10,Georgia,32.157435,-82.907123,24.58
78,2023-06-10,Texas,31.968599,-99.901813,30.39
79,2023-06-10,Tennessee,35.517491,-86.580447,21.91
80,2023-06-10,Maine,45.253783,-69.445469,12.53
81,2023-06-10,Virginia,37.431573,-78.656894,20.41
82,2023-06-10,Oklahoma,35.007752,-97.092877,25.56
83,2023-06-10,California,36.778261,-119.417932,21.72
84,2023-06-10,Missouri,37.964253,-91.831833,21.29
85,2023-06-10,Massachusetts,42.407211,-71.382437,14.81
86,2023-06-10,Indiana,40.551217,-85.602364,20.78
87,2023-06-10,Washington,47.751074,-120.740139,12.65
88,2023-06-10,Michigan,44.314844,-85.602364,18.66
89,2023-06-10,North Carolina,35.759573,-79.0193,21.05
90,2023-06-10,Arizona,34.048928,-111.093731,18.63
91,2023-06-10,Kentucky,37.839333,-84.270018,20.32
92,2023-06-10,Minnesota,46.729553,-94.6859,18.93
93,2023-06-10,Colorado,39.550051,-105.782067,4.25
94,2023-06-10,Nevada,38.80261,-116.419389,15.35
95,2023-06-10,Alabama,32.318231,-86.902298,26.51
96,2023-06-10,South Carolina,33.836081,-81.163725,21.83
97,2023-06-10,Iowa,41.878003,-93.097702,21.46
98,2023-06-10,Maryland,39.045755,-76.641271,20.52
99,2023-06-10,Ohio,40.417287,-82.907123,19.24
100,2023-06-10,New York,43.299428,-74.217933,13.06
101,2023-06-10,Illinois,40.633125,-89.398528,21.76
102,2023-06-10,Utah,39.32098,-111.093731,11.03
103,2023-06-10,Oregon,43.804133,-120.554201,13.86
104,2023-06-10,Idaho,44.068202,-114.742041,7.41
105,2023-06-10,Pennsylvania,41.203322,-77.194525,17.38
106,2023-06-10,New Jersey,40.058324,-74.405661,19.22
107,2023-06-10,Arkansas,35.20105,-91.831833,23.12
108,2023-06-10,Mississippi,32.354668,-89.398528,25.37
109,2023-06-10,South Dakota,43.969515,-99.901813,21.17
110,2023-06-10,Montana,46.879682,-110.362566,13.6
111,2023-06-11,Kentucky,37.839333,-84.270018,20.15
